,,,,,,,,,Score,,,,Passing,,,,,,,,,,Rushing,,,,Total Offense,,,Kicking,,,,Punting,,First Downs,,,,Downs,,,,Penalties,,Turnovers,,,
Tm,Div,Rk,Gtm,Week,Date,Day,Home/Away,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP
Dallas Cowboys,NFC EAST,15,15,16,12/24/2022,Sat,Home,PHI,W,40,34,,27,35,77.1,304,3,8.7,9.11,119.2,6,43,31,115,1,3.7,72,419,5.82,4,4,4,4,1,57,18,6,1,25,8,15,1,1,4,36,0,1,1,32:18:00
Dallas Cowboys,NFC EAST,16,16,17,12/29/2022,Thu,Away,TEN,W,27,13,,29,41,70.7,274,2,6.7,5.46,84.8,1,8,32,87,1,2.7,74,361,4.88,2,2,3,3,3,121,16,5,5,26,8,13,0,0,3,35,1,2,3,33:26:00
Dallas Cowboys,NFC EAST,17,17,18,1/8/2023,Sun,Away,WAS,L,6,26,,14,38,36.8,118,1,3.1,2.45,43.5,1,10,27,64,0,2.4,66,182,2.76,0,0,1,0,10,478,6,4,0,10,4,18,1,3,6,74,1,1,2,23:48
Dallas Cowboys,NFC EAST,1,1,1,9/10/2023,Sun,Away,NYG,W,40,0,,13,25,52,143,0,5.7,5.72,69.2,0,0,30,122,3,4.1,55,265,4.82,2,2,5,4,3,146,8,7,3,18,6,13,1,2,5,35,0,0,0,26:32:00
Dallas Cowboys,NFC EAST,2,2,2,9/17/2023,Sun,Home,NYJ,W,30,10,,31,38,81.6,248,2,6.5,7.58,111.4,1,7,44,134,0,3,83,382,4.6,5,5,1,1,3,155,16,8,2,26,9,18,0,0,6,38,0,0,0,42:15:00
Dallas Cowboys,NFC EAST,3,3,3,9/24/2023,Sun,Away,ARI,L,16,28,,25,40,62.5,231,1,5.8,5.15,76.1,2,18,33,185,0,5.6,75,416,5.55,3,3,1,1,2,102,11,12,3,26,9,16,0,1,13,107,0,1,1,34:33:00
Dallas Cowboys,NFC EAST,4,4,4,10/1/2023,Sun,Home,NWE,W,38,3,,30,36,83.3,253,1,7,7.58,105.2,3,28,30,124,1,4.1,69,377,5.46,3,3,3,3,2,112,15,6,1,22,8,15,0,1,5,32,0,0,0,35:09:00
Dallas Cowboys,NFC EAST,5,5,5,10/8/2023,Sun,Away,SFO,L,10,42,,16,26,61.5,140,1,5.4,0.96,49,4,21,19,57,0,3,49,197,4.02,1,1,1,1,5,254,5,3,0,8,4,11,0,1,6,60,1,3,4,22:55
Dallas Cowboys,NFC EAST,6,6,6,10/16/2023,Mon,Away,LAC,W,20,17,,21,30,70,246,1,8.2,8.87,105.7,5,26,26,96,1,3.7,61,342,5.61,2,2,2,2,4,209,12,5,3,20,5,13,1,2,11,85,1,0,1,29:52:00
Dallas Cowboys,NFC EAST,7,7,8,10/29/2023,Sun,Home,LAR,W,43,20,,27,34,79.4,285,4,8.4,9.41,128.6,3,22,26,102,0,3.9,63,387,6.14,2,2,5,5,2,93,16,6,2,24,6,12,1,1,4,21,0,1,1,35:28:00
